#: table_doi: 10.17182/hepdata.73749.v1/t9
#: name: Table 9
#: description: pT-differential invariant yield of protons+antiprotons in INEL p-p collisions with centre-of-mass energies 5.02 TeV and 7.0 TeV. The first uncertainty is statistical, the second is the systematic one.

#: data_file: Table9.yaml
#: keyword reactions: P P --> P X | P P --> PBAR X
#: keyword observables: D2N/DPT/DYRAP
#: keyword phrases: Inclusive | Double Differential Distribution | Transverse Momentum Dependence | Rapidity Dependence | Proton-Proton Scattering
#: keyword cmenergies: 5.02-7.0
#: RE,,,P P --> (P + PBAR) X
#: SQRT(S) [TeV],,,5.02
#: ETARAP,,,-0.8-0.8
'PT [GEV]','PT [GEV] LOW','PT [GEV] HIGH','1/(Nev*2*PI*PT)*D2(N)/DPT/DYRAP [GEV**-2]','stat +','stat -','sys +','sys -'
2.95,2.9,3.0,0.0002808,4.7e-06,-4.7e-06,1.82e-05,-1.82e-05
3.1,3.0,3.2,0.0002127,3.3e-06,-3.3e-06,1.37e-05,-1.37e-05
3.3,3.2,3.4,0.0001441,2.6e-06,-2.6e-06,9.8e-06,-9.8e-06
3.5,3.4,3.6,0.0001004,2.3e-06,-2.3e-06,7.1e-06,-7.1e-06
3.7,3.6,3.8,7.118e-05,1.88e-06,-1.88e-06,5.39e-06,-5.39e-06
3.9,3.8,4.0,4.91e-05,1.43e-06,-1.43e-06,4.14e-06,-4.14e-06
4.25,4.0,4.5,2.895e-05,8.1e-07,-8.1e-07,2.54e-06,-2.54e-06
4.75,4.5,5.0,1.431e-05,4.6e-07,-4.6e-07,1.23e-06,-1.23e-06
5.25,5.0,5.5,6.847e-06,4.89e-07,-4.89e-07,6.04e-07,-6.04e-07
5.75,5.5,6.0,3.81e-06,3.61e-07,-3.61e-07,3.4e-07,-3.4e-07
6.5,6.0,7.0,1.8e-06,3.5e-08,-3.5e-08,2.74e-07,-2.74e-07
7.5,7.0,8.0,6.583e-07,2.21e-08,-2.21e-08,1.084e-07,-1.084e-07
9.0,8.0,10.0,2.221e-07,8.4e-09,-8.4e-09,3.11e-08,-3.11e-08
11.0,10.0,12.0,4.609e-08,3.84e-09,-3.84e-09,6.47e-09,-6.47e-09
13.5,12.0,15.0,1.345e-08,1.34e-09,-1.34e-09,1.88e-09,-1.88e-09
17.5,15.0,20.0,2.868e-09,4.49e-10,-4.49e-10,4.06e-10,-4.06e-10

