#: table_doi: 10.17182/hepdata.73749.v1/t5
#: name: Table 5
#: description: pT-differential invariant yield of protons+antiprotons in p-Pb collisions with centre-of-mass energy/nucleon=5.02 TeV, measured for different V0A multiplicity classes. The first uncertainty is statistical, the second one is the total systematic uncertainty, while the third one is the uncorrelated systematic uncertainty which is multiplicity dependent.

#: data_file: Table5.yaml
#: keyword reactions: P PB --> P X | P PB --> PBAR X
#: keyword observables: D2N/DPT/DYRAP
#: keyword phrases: Inclusive | Double Differential Distribution | Transverse Momentum Dependence | Rapidity Dependence
#: keyword cmenergies: 5020.0
#: RE,,,P PB --> (P + PBAR) X
#: class [pct],,,0.0-5.0
#: YRAP(C=CM),,,-0.5-0.0
#: SQRT(S)/NUCLEON [GeV],,,5020.0
'PT [GEV]','PT [GEV] LOW','PT [GEV] HIGH','1/(Nev*2*PI*PT)*D2(N)/DPT/DYRAP [GEV**-2]','stat +','stat -','sys,total +','sys,total -','sys,uncor +','sys,uncor -'
2.95,2.9,3.0,0.005016,0.000197,-0.000197,0.000283,-0.000283,0.00013,-0.00013
3.1,3.0,3.2,0.003894,0.000119,-0.000119,0.000227,-0.000227,0.000109,-0.000109
3.3,3.2,3.4,0.002779,9.4e-05,-9.4e-05,0.000162,-0.000162,7.8e-05,-7.8e-05
3.5,3.4,3.6,0.001869,7.3e-05,-7.3e-05,0.000116,-0.000116,5.2e-05,-5.2e-05
3.7,3.6,3.8,0.001314,5.8e-05,-5.8e-05,8.4e-05,-8.4e-05,3.5e-05,-3.5e-05
3.9,3.8,4.0,0.0009073,4.43e-05,-4.43e-05,5.97e-05,-5.97e-05,2.33e-05,-2.33e-05
4.25,4.0,4.5,0.0005334,2.07e-05,-2.07e-05,3.59e-05,-3.59e-05,1.21e-05,-1.21e-05
4.75,4.5,5.0,0.0002654,1.19e-05,-1.19e-05,1.82e-05,-1.82e-05,6.1e-06,-6.1e-06
5.25,5.0,5.5,0.0001225,7.4e-06,-7.4e-06,9.4e-06,-9.4e-06,2.9e-06,-2.9e-06
5.75,5.5,6.0,6.417e-05,4.66e-06,-4.66e-06,5.45e-06,-5.45e-06,1.84e-06,-1.84e-06
6.5,6.0,7.0,2.382e-05,1.1e-06,-1.1e-06,2.93e-06,-2.93e-06,7.9e-07,-7.9e-07
7.5,7.0,8.0,9.019e-06,6.14e-07,-6.14e-07,1.091e-06,-1.091e-06,3.01e-07,-3.01e-07
9.0,8.0,10.0,2.626e-06,2.12e-07,-2.12e-07,2.9e-07,-2.9e-07,9.2e-08,-9.2e-08
11.0,10.0,12.0,4.175e-07,8.6e-08,-8.6e-08,4.63e-08,-4.63e-08,1.84e-08,-1.84e-08
13.5,12.0,15.0,1.485e-07,3.49e-08,-3.49e-08,1.65e-08,-1.65e-08,6e-09,-6e-09
17.5,15.0,20.0,2.212e-08,8.49e-09,-8.49e-09,2.49e-09,-2.49e-09,1.17e-09,-1.17e-09

#: RE,,,P PB --> (P + PBAR) X
#: class [pct],,,10.0-20.0
#: YRAP(C=CM),,,-0.5-0.0
#: SQRT(S)/NUCLEON [GeV],,,5020.0
'PT [GEV]','PT [GEV] LOW','PT [GEV] HIGH','1/(Nev*2*PI*PT)*D2(N)/DPT/DYRAP [GEV**-2]','stat +','stat -','sys,total +','sys,total -','sys,uncor +','sys,uncor -'
0.32499999999999996,0.3,0.35,0.3635,0.0072,-0.0072,0.0342,-0.0342,0.0081,-0.0081
0.375,0.35,0.4,0.34,0.0046,-0.0046,0.0246,-0.0246,0.0076,-0.0076
0.42500000000000004,0.4,0.45,0.328,0.0036,-0.0036,0.0218,-0.0218,0.0073,-0.0073
0.475,0.45,0.5,0.3134,0.0029,-0.0029,0.021,-0.021,0.007,-0.007
0.525,0.5,0.55,0.2851,0.0021,-0.0021,0.0153,-0.0153,0.0066,-0.0066
0.575,0.55,0.6,0.2761,0.002,-0.002,0.0125,-0.0125,0.0063,-0.0063
0.625,0.6,0.65,0.2596,0.0018,-0.0018,0.0114,-0.0114,0.006,-0.006
0.675,0.65,0.7,0.2471,0.0016,-0.0016,0.0146,-0.0146,0.006,-0.006
0.725,0.7,0.75,0.2285,0.0016,-0.0016,0.0135,-0.0135,0.0057,-0.0057
0.775,0.75,0.8,0.2146,0.0015,-0.0015,0.0133,-0.0133,0.0056,-0.0056
0.825,0.8,0.85,0.2023,0.0015,-0.0015,0.0123,-0.0123,0.0054,-0.0054
0.875,0.85,0.9,0.19,0.0014,-0.0014,0.0119,-0.0119,0.0052,-0.0052
0.925,0.9,0.95,0.1717,0.0015,-0.0015,0.0105,-0.0105,0.0048,-0.0048
0.975,0.95,1.0,0.1583,0.0014,-0.0014,0.01,-0.01,0.0046,-0.0046
1.05,1.0,1.1,0.1332,0.0009,-0.0009,0.0088,-0.0088,0.0041,-0.0041
1.15,1.1,1.2,0.1133,0.0008,-0.0008,0.0074,-0.0074,0.0034,-0.0034
1.25,1.2,1.3,0.09528,0.00074,-0.00074,0.00621,-0.00621,0.00287,-0.00287
1.35,1.3,1.4,0.08028,0.00067,-0.00067,0.0053,-0.0053,0.00245,-0.00245
1.45,1.4,1.5,0.06658,0.00059,-0.00059,0.00435,-0.00435,0.00208,-0.00208
1.55,1.5,1.6,0.0545,0.00065,-0.00065,0.00302,-0.00302,0.00149,-0.00149
1.65,1.6,1.7,0.04472,0.00055,-0.00055,0.00248,-0.00248,0.00123,-0.00123
1.75,1.7,1.8,0.03732,0.00049,-0.00049,0.00207,-0.00207,0.00102,-0.00102
1.85,1.8,1.9,0.03124,0.00043,-0.00043,0.00173,-0.00173,0.00086,-0.00086
1.95,1.9,2.0,0.02555,0.00038,-0.00038,0.00142,-0.00142,0.00069,-0.00069
2.05,2.0,2.1,0.02148,0.00033,-0.00033,0.00115,-0.00115,0.0006,-0.0006
2.1500000000000004,2.1,2.2,0.0174,0.00029,-0.00029,0.00092,-0.00092,0.00048,-0.00048
2.25,2.2,2.3,0.01462,0.00026,-0.00026,0.00077,-0.00077,0.00041,-0.00041
2.3499999999999996,2.3,2.4,0.01205,0.00024,-0.00024,0.00063,-0.00063,0.00034,-0.00034
2.45,2.4,2.5,0.009855,0.000204,-0.000204,0.000518,-0.000518,0.000272,-0.000272
2.55,2.5,2.6,0.008402,0.000187,-0.000187,0.000437,-0.000437,0.000224,-0.000224
2.6500000000000004,2.6,2.7,0.006893,0.00017,-0.00017,0.000365,-0.000365,0.000186,-0.000186
2.75,2.7,2.8,0.00591,0.000158,-0.000158,0.000313,-0.000313,0.000153,-0.000153
2.8499999999999996,2.8,2.9,0.004826,0.000138,-0.000138,0.000263,-0.000263,0.000125,-0.000125
2.95,2.9,3.0,0.003902,0.000124,-0.000124,0.000221,-0.000221,0.0001,-0.0001
