#: table_doi: 10.17182/hepdata.73749.v1/t8
#: name: Table 8
#: description: pT-differential invariant yield of charged kaons in INEL p-p collisions with centre-of-mass energies 5.02 TeV and 7.0 TeV. The first uncertainty is statistical, the second is the systematic one.

#: data_file: Table8.yaml
#: keyword reactions: P P --> K+ X | P P --> K- X
#: keyword observables: D2N/DPT/DYRAP
#: keyword phrases: Inclusive | Double Differential Distribution | Transverse Momentum Dependence | Rapidity Dependence | Proton-Proton Scattering | Strange Production
#: keyword cmenergies: 5.02-7.0
#: RE,,,P P --> (K+ + K-) X
#: SQRT(S) [TeV],,,5.02
#: ETARAP,,,-0.8-0.8
'PT [GEV]','PT [GEV] LOW','PT [GEV] HIGH','1/(Nev*2*PI*PT)*D2(N)/DPT/DYRAP [GEV**-2]','stat +','stat -','sys +','sys -'
3.1,3.0,3.2,0.0003909,7.3e-06,-7.3e-06,2.8e-05,-2.8e-05
3.3,3.2,3.4,0.0002841,6e-06,-6e-06,1.99e-05,-1.99e-05
3.5,3.4,3.6,0.0002102,4.9e-06,-4.9e-06,1.42e-05,-1.42e-05
3.7,3.6,3.8,0.0001552,4.2e-06,-4.2e-06,1.04e-05,-1.04e-05
3.9,3.8,4.0,0.0001141,3.4e-06,-3.4e-06,7.3e-06,-7.3e-06
4.25,4.0,4.5,7.212e-05,1.72e-06,-1.72e-06,4.63e-06,-4.63e-06
4.75,4.5,5.0,3.744e-05,1.09e-06,-1.09e-06,2.37e-06,-2.37e-06
5.25,5.0,5.5,2.141e-05,8.7e-07,-8.7e-07,1.35e-06,-1.35e-06
5.75,5.5,6.0,1.318e-05,7e-07,-7e-07,8.3e-07,-8.3e-07
6.5,6.0,7.0,5.577e-06,5.8e-08,-5.8e-08,6.16e-07,-6.16e-07
7.5,7.0,8.0,2.413e-06,3.9e-08,-3.9e-08,2.66e-07,-2.66e-07
9.0,8.0,10.0,8.581e-07,1.5e-08,-1.5e-08,8.69e-08,-8.69e-08
11.0,10.0,12.0,2.737e-07,7.8e-09,-7.8e-09,2.78e-08,-2.78e-08
13.5,12.0,15.0,8.558e-08,2.92e-09,-2.92e-09,8.65e-09,-8.65e-09
17.5,15.0,20.0,2.192e-08,1.09e-09,-1.09e-09,2.27e-09,-2.27e-09

